time,chat
10,반가워용 '- ^
10,구른거임?
10,마기 구른다
11,어르신 몸생각도 하셔야죠
11,자전거네비?
11,엌ㅋㅋㅋㅋ
11,일반도보길 보셨넼ㅋㅋㅋ
11,도로로 네비 검색하시지
11,자전거 경로 따로 있지 않나요?
11,??
11,100020살이신데 힘넘치시네
11,오
11,딴데로 우회하는 선택지는 없나요?
11,ㅋㅋㅋㅋㅋㅋㅋㅋ
11,ㅋㅋㅋㅋㅋ
11,훈련을 하셨네ㅋㅋ
11,머리가 나쁘면 몸이 고생한다...
11,전지 훌련하심?
12,사서 고생하는 타입
12,전지 훈련하셧내
12,사진으로봤을때 가벼운자전거도아닌데 ㅋㅌㅋㅋㅋㅋ
12,따릉이 거의 20키로
12,ㅋㅋㅋㅋㅋㅋ
12,종아리에 알추가요~~ㅋㅋ
12,ㅋㅋㅋㅋㅋㅋㅋㅋ
12,??? : 엄마 저기있는사람 자전거 들고왔나봐
12,아 샛길
12,ㅋㅋㅋㅋㅋㅋ
13,갑자기 따릉이에서 산악자전거로 종목 변경
13,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
13,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
13,피곤한 이유가 있었네요 ㅋㅋㅋㅋㅋㅋㅋ
13,ㅋㅋㅋ
13,ㅋㅋㅋㅋ
13,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
13,턱 ㅋㅋ
13,아 절벽같은곳이구나
13,옹벽 ㅋㅋㅋ
13,ㅋㅋㅋㅋㅋ
13,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
13,ㅋㅋ
13,능지부족 ㅋ
13,ㅋㅋㅋㅋㅋㅋㅋ
13,이막이 살많이빠지겠다
14,진짜 훈련을 하셨네
14,방송할 에너지까지 다쓰긴했겠다
14,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
14,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
14,ㅋㅋㅋ
